Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","159","China","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","159","China","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","","O","Missing value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","9.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","767.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","11.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","11.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","14.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","29.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","27.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","31.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","923.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","340","E","Estimated value",""
