,Area,Item Code,Item,Value
4,Afghanistan,21057,Average dietary energy requirement (kcal/cap/day),2164.0
7,Albania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",14520.1
12,Albania,21057,Average dietary energy requirement (kcal/cap/day),2483.0
15,Algeria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",10957.2
20,Algeria,21057,Average dietary energy requirement (kcal/cap/day),2281.0
27,American Samoa,21057,Average dietary energy requirement (kcal/cap/day),
34,Andorra,21057,Average dietary energy requirement (kcal/cap/day),
37,Angola,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",5990.4
42,Angola,21057,Average dietary energy requirement (kcal/cap/day),2121.0
45,Antigua and Barbuda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",18057.3
50,Antigua and Barbuda,21057,Average dietary energy requirement (kcal/cap/day),2449.0
53,Argentina,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",21506.9
58,Argentina,21057,Average dietary energy requirement (kcal/cap/day),2417.0
61,Armenia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",13317.2
66,Armenia,21057,Average dietary energy requirement (kcal/cap/day),2428.0
69,Australia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",49308.5
74,Australia,21057,Average dietary energy requirement (kcal/cap/day),2479.0
77,Austria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",53944.5
82,Austria,21057,Average dietary energy requirement (kcal/cap/day),2530.0
85,Azerbaijan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",14421.0
90,Azerbaijan,21057,Average dietary energy requirement (kcal/cap/day),2410.0
93,Bahamas,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",31046.8
98,Bahamas,21057,Average dietary energy requirement (kcal/cap/day),2473.0
101,Bahrain,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",41335.6
106,Bahrain,21057,Average dietary energy requirement (kcal/cap/day),2556.0
109,Bangladesh,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6019.5
114,Bangladesh,21057,Average dietary energy requirement (kcal/cap/day),2309.0
117,Barbados,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",13487.1
122,Barbados,21057,Average dietary energy requirement (kcal/cap/day),2485.0
125,Belarus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",19751.2
130,Belarus,21057,Average dietary energy requirement (kcal/cap/day),2449.0
133,Belgium,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",51601.9
138,Belgium,21057,Average dietary energy requirement (kcal/cap/day),2539.0
141,Belize,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",6300.3
